"","hid","year","year_f","migdist","herdsize","z_herdsize","migb","bi_migb","reason","tac_strat","hhsize","z_w5c","z_w_ros","z_w_sumtemp","z_s_20Cdays","z_s_sumtemp","w_5C","w_ros","w_sumtemp","s_20Cdays","s_sumtemp"
"48","22",2000,"2000",1100,200,-0.866689988304751,"neutral",1,"pasture","strategic",5,-0.323860591548938,-0.186989379114569,1.48245292805659,-0.804685342381215,-0.550842600149571,28,0.088592812,2237.497473,0,0
"49","23",2000,"2000",100,1000,0.279651969559666,"neutral",1,"pasture","neutral",4,-0.538230947520833,-0.995930153223017,-1.2645156941005,-0.804685342381215,-0.550842600149571,26,0,301.1955832,0,0
"50","24",2000,"2000",80,1000,0.279651969559666,"neutral",1,"pasture","neutral",5,-0.538230947520833,-0.986146517323325,-1.23920461820207,-0.639758098653495,-0.496456547136316,26,0.001071475,319.0370262,1,103
"51","25",2000,"2000",40,600,-0.293519009372542,"neutral",1,"pasture","neutral",4,-0.538230947520833,-0.995930153223017,-1.27780116200064,-0.804685342381215,-0.550842600149571,26,0,291.8308324,0,0
"52","20",2019,"2019",1150,1500,0.996115693224927,"increase",2,"pasture","strategic",3,1.71265779018406,1.06660667345823,0.906480607814671,-0.309903611198055,-0.141099132787573,47,0.225882961,1831.502194,3,776
"53","3",2020,"2020",1000,2000,1.71257941689019,"increase",2,"pasture","strategic",5,-1.07415683745057,-0.995930153223017,-1.19190242932498,0.184878119985106,-0.209741723969351,21,0,352.3797142,6,646
"54","4",2020,"2020",50,300,-0.723397243571699,"decrease",2,"pasture","strategic",2,-0.64541612550678,-0.584888944903501,-0.137813493244994,4.14313196945039,2.17004411030968,25,0.045016023,1095.393079,30,5153
"55","26",2005,"2005",1100,1500,0.996115693224927,"neutral",1,"pasture","tactical",5,-0.64541612550678,0.63920827780538,0.850602593571279,-0.804685342381215,-0.550842600149571,25,0.179075547,1792.11452,0,0
"56","26",2013,"2013",750,500,-0.436811754105595,"decrease",2,"weak_herd","tactical",4,2.14139850212785,1.99924946717702,1.66398032240253,1.17444158235143,1.06965057167256,51,0.328023254,2365.453735,12,3069
"57","27",2006,"2006",1200,2000,1.71257941689019,"shift",2,"pasture","tactical",7,-0.216675413562991,-0.402398274105645,1.0930609795448,0.184878119985106,0.00780248808366901,29,0.065001864,1963.020233,6,1058
"58","27",2020,"2020",522,2000,1.71257941689019,"decrease",2,"social","strategic",5,-1.07415683745057,-0.995930153223017,-1.44775684861324,0.349805363712826,0.0273392255738674,21,0,172.0313143,7,1095
"59","24",2010,"2010",80,700,-0.15022626463949,"shift",2,"climate","tactical",4,-0.00230505759109583,0.00525335259248339,-0.586358872759467,-0.804685342381215,-0.550842600149571,31,0.10964667,779.219367,0,0
"60","23",2010,"2010",100,1200,0.566237459025771,"neutral",1,"wild_reindeer","neutral",4,-0.00230505759109583,0.13669712523682,-0.523712160650285,-0.804685342381215,-0.550842600149571,31,0.124042005,823.3782067,0,0
"61","25",2010,"2010",40,700,-0.15022626463949,"decrease",2,"climate","neutral",2,-0.216675413562991,0.273454800771184,-0.52552935842041,-0.639758098653495,-0.508072985644001,29,0.139019303,822.097288,1,81
"62","28",2019,"2019",40,1000,0.279651969559666,"decrease",2,"industry","strategic",3,-0.00230505759109583,3.47906585401831,2.04051144397063,-0.804685342381215,-0.550842600149571,31,0.490088388,2630.865548,0,0
